Тип данных,Целевая цифра,Сравниваемая цифра,Корреляция
noisy,Цель: 1,3,0.40971172272790113
noisy,Цель: 1,4,0.4254179810202675
noisy,Цель: 1,5,0.4573928315456851
noisy,Цель: 1,6,0.45111553562503803
noisy,Цель: 1,7,0.4298031933891912
noisy,Цель: 1,8,0.43502584371355246
noisy,Цель: 1,9,0.46438830049568125
noisy,Цель: 2,1,0.4271445914826835
noisy,Цель: 2,2,0.9684626128116178
noisy,Цель: 2,3,0.46368530194781654
noisy,Цель: 2,4,0.4648493262585478
noisy,Цель: 2,5,0.4345747773282035
noisy,Цель: 2,6,0.4582688758230928
noisy,Цель: 2,7,0.4389785945854105
noisy,Цель: 2,8,0.4241343580309319
noisy,Цель: 2,9,0.41990156173169574
noisy,Цель: 3,1,0.40971172272790113
noisy,Цель: 3,2,0.46368530194781654
noisy,Цель: 3,3,0.942913723546039
noisy,Цель: 3,4,0.4533148158685726
noisy,Цель: 3,5,0.450510372508263
noisy,Цель: 3,6,0.4547025249998925
noisy,Цель: 3,7,0.4328131003730497
noisy,Цель: 3,8,0.439581017240302
noisy,Цель: 3,9,0.4527674207881638
noisy,Цель: 4,1,0.4254179810202675
noisy,Цель: 4,2,0.4648493262585478
noisy,Цель: 4,3,0.4533148158685726
noisy,Цель: 4,4,0.9458026202333012
noisy,Цель: 4,5,0.4321214692975956
noisy,Цель: 4,6,0.42628956226098186
noisy,Цель: 4,7,0.4786534124677138
noisy,Цель: 4,8,0.4342601478731067
noisy,Цель: 4,9,0.43929066471991296
noisy,Цель: 5,1,0.4573928315456851
noisy,Цель: 5,2,0.4345747773282035
noisy,Цель: 5,3,0.450510372508263
noisy,Цель: 5,4,0.4321214692975956
noisy,Цель: 5,5,0.9602765369988234
noisy,Цель: 5,6,0.4488533715423682
noisy,Цель: 5,7,0.4786784619766831
noisy,Цель: 5,8,0.4255547937640754
noisy,Цель: 5,9,0.41203738503830223
noisy,Цель: 6,1,0.45111553562503803
noisy,Цель: 6,2,0.4582688758230928
noisy,Цель: 6,3,0.4547025249998925
noisy,Цель: 6,4,0.42628956226098186
noisy,Цель: 6,5,0.4488533715423682
noisy,Цель: 6,6,0.9404858756322789
noisy,Цель: 6,7,0.4140965781579558
noisy,Цель: 6,8,0.4648581049026061
noisy,Цель: 6,9,0.4413295710557859
noisy,Цель: 7,1,0.4298031933891912
noisy,Цель: 7,2,0.4389785945854105
noisy,Цель: 7,3,0.4328131003730497
noisy,Цель: 7,4,0.4786534124677138
noisy,Цель: 7,5,0.4786784619766831
noisy,Цель: 7,6,0.4140965781579558
noisy,Цель: 7,7,0.9681123734390914
noisy,Цель: 7,8,0.4266450958960355
noisy,Цель: 7,9,0.432219189714869
noisy,Цель: 8,1,0.43502584371355246
noisy,Цель: 8,2,0.4241343580309319
noisy,Цель: 8,3,0.439581017240302
noisy,Цель: 8,4,0.4342601478731067
noisy,Цель: 8,5,0.4255547937640754
noisy,Цель: 8,6,0.4648581049026061
noisy,Цель: 8,7,0.4266450958960355
noisy,Цель: 8,8,0.9785059062468394
noisy,Цель: 8,9,0.47143473233255045
noisy,Цель: 9,1,0.46438830049568125
noisy,Цель: 9,2,0.41990156173169574
noisy,Цель: 9,3,0.4527674207881638
noisy,Цель: 9,4,0.43929066471991296
noisy,Цель: 9,5,0.41203738503830223
noisy,Цель: 9,6,0.4413295710557859
noisy,Цель: 9,7,0.432219189714869
noisy,Цель: 9,8,0.47143473233255045
noisy,Цель: 9,9,0.9666311741230386
distorted,Цель: 1,1,0.9388299944352083
distorted,Цель: 1,2,0.4368335122200413
distorted,Цель: 1,3,0.4258326845018732
distorted,Цель: 1,4,0.45559072474611195
distorted,Цель: 1,5,0.46768202436288936
distorted,Цель: 1,6,0.45857812932171343
distorted,Цель: 1,7,0.4653048751591202
distorted,Цель: 1,8,0.43783632182593446
distorted,Цель: 1,9,0.41351173342710773
distorted,Цель: 2,1,0.4368335122200413
distorted,Цель: 2,2,0.9695466195815943
distorted,Цель: 2,3,0.42586132580139485
distorted,Цель: 2,4,0.44634180055137423
distorted,Цель: 2,5,0.5058438632797587
distorted,Цель: 2,6,0.4117727327998421
distorted,Цель: 2,7,0.45451101155640666
distorted,Цель: 2,8,0.4006388950966108
distorted,Цель: 2,9,0.4486502391129767
distorted,Цель: 3,1,0.4258326845018732
distorted,Цель: 3,2,0.42586132580139485
distorted,Цель: 3,3,0.9888325714449314
distorted,Цель: 3,4,0.4257648681754391
distorted,Цель: 3,5,0.44942020823888446
distorted,Цель: 3,6,0.491952141918463
distorted,Цель: 3,7,0.4242866428632283
distorted,Цель: 3,8,0.4191199549154206
distorted,Цель: 3,9,0.4489296021403648
distorted,Цель: 4,1,0.45559072474611195
distorted,Цель: 4,2,0.44634180055137423
distorted,Цель: 4,3,0.4257648681754391
distorted,Цель: 4,4,0.9751702814340873
distorted,Цель: 4,5,0.48073457477177234
distorted,Цель: 4,6,0.39842135063202205
distorted,Цель: 4,7,0.4139352196686099
distorted,Цель: 4,8,0.47013069695047077
distorted,Цель: 4,9,0.4339104830701125
distorted,Цель: 5,1,0.46768202436288936
distorted,Цель: 5,2,0.5058438632797587
distorted,Цель: 5,3,0.44942020823888446
distorted,Цель: 5,4,0.48073457477177234
distorted,Цель: 5,5,0.8670099047563952
distorted,Цель: 5,6,0.45351903201991817
distorted,Цель: 5,7,0.4095601972674755
distorted,Цель: 5,8,0.44571988763082065
distorted,Цель: 5,9,0.4205103076720857
distorted,Цель: 6,1,0.45857812932171343
distorted,Цель: 6,2,0.4117727327998421
distorted,Цель: 6,3,0.491952141918463
distorted,Цель: 6,4,0.39842135063202205
distorted,Цель: 6,5,0.45351903201991817
distorted,Цель: 6,6,0.9409250612389737
distorted,Цель: 6,7,0.3998807606606198
distorted,Цель: 6,8,0.4765075118142027
distorted,Цель: 6,9,0.46844327959424514
distorted,Цель: 7,1,0.4653048751591202
distorted,Цель: 7,2,0.45451101155640666
distorted,Цель: 7,3,0.4242866428632283
distorted,Цель: 7,4,0.4139352196686099
distorted,Цель: 7,5,0.4095601972674755
distorted,Цель: 7,6,0.3998807606606198
distorted,Цель: 7,7,1.0
distorted,Цель: 7,8,0.4458252259218656
distorted,Цель: 7,9,0.4866960669026738
distorted,Цель: 8,1,0.43783632182593446
distorted,Цель: 8,2,0.4006388950966108
distorted,Цель: 8,3,0.4191199549154206
distorted,Цель: 8,4,0.47013069695047077
distorted,Цель: 8,5,0.44571988763082065
distorted,Цель: 8,6,0.4765075118142027
distorted,Цель: 8,7,0.4458252259218656
distorted,Цель: 8,8,0.9489525950276345
distorted,Цель: 8,9,0.45526891081704
distorted,Цель: 9,1,0.41351173342710773
distorted,Цель: 9,2,0.4486502391129767
distorted,Цель: 9,3,0.4489296021403648
distorted,Цель: 9,4,0.4339104830701125
distorted,Цель: 9,5,0.4205103076720857
distorted,Цель: 9,6,0.46844327959424514
distorted,Цель: 9,7,0.4866960669026738
distorted,Цель: 9,8,0.45526891081704
distorted,Цель: 9,9,0.9240793772633937
